"Tick","numOfCustShowUps","numOfCharges","numOfDeadBatteries","numOfCustDel","numOfCustPickUps"
"1000","40","0","0","0","0"
"2000","40","0","0","0","0"
"3000","40","0","0","0","0"
"4000","40","0","0","0","0"
"5000","40","0","0","0","0"
"6000","40","0","0","0","0"
"7000","40","0","0","0","0"
"8000","40","0","0","0","0"
"9000","40","0","0","0","0"
"10000","40","0","0","0","0"
"11000","40","0","0","0","0"
"12000","40","0","0","0","0"
"13000","40","0","0","0","0"
"14000","40","0","0","0","0"
"15000","40","0","0","0","0"
"16000","40","0","0","0","0"
"17000","40","0","0","0","0"
"18000","40","0","0","0","0"
"19000","40","0","0","0","0"
"20000","40","0","0","0","0"
"21000","40","0","0","0","0"
"22000","40","0","0","0","0"
"23000","40","0","0","0","0"
"24000","40","0","0","0","0"
"25000","40","0","0","0","0"
"26000","40","0","0","0","0"
"27000","40","0","0","0","0"
"28000","40","0","0","0","0"
"29000","40","0","0","0","0"
"30000","40","0","0","0","0"
"31000","40","0","0","0","0"
"32000","40","0","0","0","0"
"33000","40","0","0","0","0"
"34000","40","0","0","0","0"
"35000","40","0","0","0","0"
"36000","40","0","0","0","0"
"37000","40","0","0","0","0"
"38000","40","0","0","0","0"
"39000","40","0","0","0","0"
"40000","40","0","0","0","0"
"41000","40","0","0","0","0"
"42000","40","0","0","0","0"
"43000","40","0","0","0","0"
"44000","40","0","0","0","0"
"45000","40","0","0","0","0"
"46000","40","0","0","0","0"
"47000","40","0","0","0","0"
"48000","40","0","0","0","0"
"49000","40","0","0","0","0"
"50000","40","0","0","0","0"
"51000","40","0","0","0","0"
"52000","40","0","0","0","0"
"53000","40","0","0","0","0"
"54000","40","0","0","0","0"
"55000","40","0","0","0","0"
"56000","40","0","0","0","0"
"57000","40","0","0","0","0"
"58000","40","0","0","0","0"
"59000","40","0","0","0","0"
"60000","40","0","0","0","0"
"61000","40","0","0","0","0"
"62000","40","0","0","0","0"
"63000","40","0","0","0","0"
"64000","40","0","0","0","0"
"65000","40","0","0","0","0"
"66000","40","0","0","0","0"
"67000","40","0","0","0","0"
"68000","40","0","0","0","0"
"69000","40","0","0","0","0"
"70000","40","0","0","0","0"
"71000","40","0","0","0","0"
"72000","40","0","0","0","0"
"73000","40","0","0","0","0"
"74000","40","0","0","0","0"
"75000","40","0","0","0","0"
"76000","40","0","0","0","0"
"77000","40","0","0","0","0"
"78000","40","0","0","0","0"
"79000","40","0","0","0","0"
"80000","40","0","0","0","0"
"81000","40","0","0","0","0"
"82000","40","0","0","0","0"
