"Tick","numOfCustShowUps","numOfCharges","numOfDeadBatteries","numOfCustPickUps","timeForCharging","timeBatteryStationMoving","distanceTravelledToDepot","distanceTravelledToChargingAgent","distanceTravelledToCustomer"
"1000","10","0","0","0","0","0","10","0","10"
"2000","10","0","0","0","0","0","20","0","20"
"3000","10","0","0","0","0","0","30","0","30"
"4000","10","0","0","0","0","0","40","0","40"
"5000","10","0","0","0","0","0","50","0","50"
"6000","10","0","0","0","0","0","60","0","60"
"7000","10","0","0","0","0","0","70","0","70"
"8000","10","0","0","0","0","0","80","0","80"
"9000","10","0","0","0","0","0","90","0","90"
"10000","10","0","0","0","0","0","100","0","100"
"11000","10","0","0","0","0","0","110","0","110"
"12000","10","0","0","0","0","0","120","0","120"
"13000","10","0","0","0","0","0","130","0","130"
"14000","10","0","0","0","0","0","140","0","140"
"15000","10","0","0","0","0","0","150","0","150"
"16000","10","0","0","0","0","0","160","0","160"
"17000","10","0","0","0","0","0","170","0","170"
"18000","10","0","0","0","0","0","180","0","180"
"19000","10","0","0","0","0","0","190","0","190"
"20000","10","0","0","0","0","0","200","0","200"
"21000","10","0","0","0","0","0","210","0","210"
"22000","10","0","0","0","0","0","220","0","220"
"23000","10","0","0","0","0","0","230","0","230"
"24000","10","0","0","0","0","0","240","0","240"
"25000","10","0","0","0","0","0","250","0","250"
"26000","10","0","0","0","0","0","260","0","260"
"27000","10","0","0","0","0","0","270","0","270"
"28000","10","0","0","0","0","0","280","0","280"
"29000","10","0","0","0","0","0","290","0","290"
"30000","10","0","0","0","0","0","300","0","300"
"31000","10","0","0","0","0","0","310","0","310"
"32000","10","0","0","0","0","0","320","0","320"
"33000","10","0","0","0","0","0","330","0","330"
"34000","10","0","0","0","0","0","340","0","340"
"35000","10","0","0","0","0","0","350","0","350"
"36000","10","0","0","0","0","0","360","0","360"
"37000","10","0","0","0","0","0","370","0","370"
"38000","10","0","0","0","0","0","380","0","380"
"39000","10","0","0","0","0","0","390","0","390"
"40000","10","0","0","0","0","0","400","0","400"
"41000","10","0","0","0","0","0","410","0","410"
"42000","10","0","0","0","0","0","420","0","420"
"43000","10","0","0","0","0","0","430","0","430"
"44000","10","0","0","0","0","0","440","0","440"
"45000","10","0","0","0","0","0","450","0","450"
"46000","10","0","0","0","0","0","460","0","460"
"47000","10","0","0","0","0","0","470","0","470"
"48000","10","0","0","0","0","0","480","0","480"
"49000","10","0","0","0","0","0","490","0","490"
"50000","10","0","0","0","0","0","500","0","500"
"51000","10","0","0","0","0","0","510","0","510"
"52000","10","0","0","0","0","0","520","0","520"
"53000","10","0","0","0","0","0","530","0","530"
"54000","10","0","0","0","0","0","540","0","540"
"55000","10","0","0","0","0","0","550","0","550"
"56000","10","0","0","0","0","0","560","0","560"
"57000","10","0","0","0","0","0","570","0","570"
"58000","10","0","0","0","0","0","580","0","580"
"59000","10","0","0","0","0","0","590","0","590"
